# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     146      48      -99872.2      -99872.4      0.00365277      7.85147      7.9387      0.0088458      
     147      48      -99952      -99952.1      0.0016952      9.7236      9.60714      0.00941529      
     148      48      -99887.8      -99887.7      0.00120388      10.1126      10.0455      0.00503207      
     149      48      -99950      -99949.7      0.00822015      7.02792      7.18691      0.0130837      
     150      48      -99823      -99823.1      0.0021501      16.9766      17.0067      0.0106065      
     151      48      -99934.6      -99934.7      0.00140342      10.1333      10.1268      0.00645338      
     152      48      -99925.5      -99925.7      0.00288535      9.65626      9.90691      0.0137292      
     153      48      -99930.5      -99930.3      0.00518201      2.90507      2.91647      0.00723778      
     154      48      -99877.2      -99877.2      5.64074e-05      27.9757      28.0384      0.00902224      
     155      48      -99881.9      -99882      0.00116842      15.559      15.5819      0.0247009      
     156      48      -99953.2      -99952.7      0.00996109      9.23739      9.67025      0.0253593      
     157      48      -99945.3      -99945.3      0.000639994      3.00267      3.02885      0.00528382      
     158      48      -99772.5      -99772.3      0.00380145      49.6817      49.6431      0.00378695      
     159      48      -99856.6      -99856.2      0.00817746      15.5223      15.5483      0.00518129      
     160      48      -99918      -99918.6      0.012157      21.1602      21.2175      0.0103649      
     161      48      -99925.8      -99925.8      0.00141476      6.40164      6.56579      0.0105785      
     162      48      -99950.4      -99950.2      0.00466402      13.1327      13.1953      0.0143263      
     163      48      -99931.8      -99931.7      0.00228397      5.13227      5.30741      0.0125477      
     164      48      -99918.6      -99918.7      0.00104274      8.62394      8.50556      0.0218446      
     165      48      -99929.9      -99929.7      0.00432208      13.4853      13.3159      0.0156263      
     166      48      -99945.8      -99946      0.0042777      7.10297      7.1496      0.0179395      
     167      48      -99897.9      -99898      0.00276198      31.2605      31.2487      0.00276887      
     168      48      -99934.5      -99934.6      0.00222349      4.63539      4.57743      0.00602173      
     169      48      -99893.9      -99893.7      0.00463155      17.4072      17.2403      0.0145322      
     170      48      -99950.5      -99950.8      0.007615      8.56149      8.82207      0.0147415      
     171      48      -99935.5      -99935.6      0.00225562      7.60215      7.68336      0.0113596      
     172      48      -99858.2      -99858      0.00324957      20.6452      20.7549      0.00689097      
     173      48      -99918.3      -99918.4      0.00111384      21.139      21.2514      0.0122208      
     174      48      -99913.3      -99913      0.00626689      13.0157      13.1684      0.0140715      
     175      48      -99912.6      -99912.4      0.00434902      19.5937      19.5752      0.00768435      
     176      48      -99935      -99934.8      0.00551077      15.1018      15.0755      0.00616275      
     177      48      -99908.1      -99907.6      0.0101897      15.8802      16.0067      0.00906081      
     178      48      -99946      -99946.4      0.00793222      2.22219      2.1774      0.00476133      
     179      48      -99872.4      -99871.9      0.00960038      13.1305      13.1429      0.0118137      
     180      48      -99930.4      -99930.4      0.000837154      13.4133      13.4092      0.00464194      
     181      48      -99941      -99940.7      0.00693947      12.8076      12.5908      0.0157107      
     182      48      -99921.8      -99921.6      0.00334957      18.583      18.4315      0.015137      
     183      48      -99887.8      -99888      0.00357157      19.3359      19.1751      0.00840261      
     184      48      -99957.3      -99957.5      0.0040929      4.66893      4.43628      0.0194534      
     185      48      -99950.4      -99950.4      9.76167e-05      5.05782      5.05774      0.00772361      
     186      48      -99913.1      -99912.8      0.00655057      7.31932      7.22149      0.00682296      
     187      48      -99870      -99870      0.00181334      40.8765      40.8769      0.00500813      
     188      48      -99851.1      -99851.4      0.00782706      8.93844      8.88648      0.00740984      
     189      48      -99953.2      -99953      0.00452892      3.89741      3.97151      0.00827045      
     190      48      -99827.4      -99827.8      0.00797715      28.2698      28.121      0.0114159      
     191      48      -99903      -99902.9      0.00152885      5.10989      5.16656      0.0139784      
     192      48      -99936.1      -99936.4      0.00445193      6.22096      6.19701      0.00289833      
     193      48      -99883.1      -99882.9      0.00423828      13.2545      13.3268      0.0281237      
     194      48      -99822      -99822.3      0.00501376      13.7755      13.8541      0.0173805      
     195      48      -99917.8      -99917.8      0.001071      17.534      17.5494      0.00487946      
     196      48      -99936.4      -99936      0.0095024      8.12016      8.01887      0.00948588      
     197      48      -99938.5      -99938.8      0.00738605      9.17074      9.26363      0.00877083      
     198      48      -99943.3      -99943.5      0.0048594      4.42323      4.43406      0.00469823      
     199      48      -99808.7      -99808.9      0.00393053      22.6143      22.7777      0.0134799      
     200      48      -99912.5      -99912.6      0.00222995      9.52863      9.443      0.00679474      
     201      48      -99945      -99944.9      0.00180371      2.80675      2.88225      0.00807288      
     202      48      -99893.8      -99894.3      0.00976741      5.05745      5.11912      0.0124771      
     203      48      -99925.6      -99925.6      0.000392886      11.2138      10.916      0.0238446      
     204      48      -99926.4      -99926.7      0.00593994      12.1767      12.2269      0.00460229      
     205      48      -99915.4      -99915.4      0.00128385      15.1018      14.7984      0.0179447      
     206      48      -99896.8      -99896.6      0.00384968      24.808      24.9084      0.00738213      
     207      48      -99771.7      -99771.6      0.00321604      30.4159      30.4112      0.00659905      
     208      48      -99951.7      -99951.9      0.00312314      7.15499      6.94451      0.0197857      
     209      48      -99931.3      -99931      0.0053164      6.61813      6.71012      0.00751368      
     210      48      -99921.6      -99922      0.00787206      12.8001      12.7086      0.0089521      
