# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     171      96      -569.927      -569.806      0.00125857      22.4054      22.3703      0.0300907      
     172      96      -568.572      -568.433      0.00145563      24.5528      24.537      0.0339751      
     173      96      -568.287      -568.15      0.00143125      23.8937      23.9223      0.0357555      
     174      96      -570.353      -570.447      0.0009841      21.2634      21.2805      0.0275025      
     175      96      -569.342      -569.431      0.000924621      22.834      22.8527      0.0280414      
     176      96      -576.219      -576.168      0.000537195      20.9842      20.9982      0.0192594      
     177      96      -568.949      -568.992      0.000447705      22.5482      22.6223      0.0287919      
     178      96      -569.284      -569.294      9.94271e-05      21.9737      22.0406      0.0298582      
     179      96      -568.417      -568.469      0.000550235      22.98      22.9664      0.030226      
     180      96      -569.16      -569.223      0.000654457      22.195      22.1891      0.0307561      
     181      96      -569.516      -569.557      0.000430536      22.6011      22.5948      0.0310673      
     182      96      -569.489      -569.502      0.000136021      23.2257      23.217      0.0317214      
     183      96      -569.358      -569.344      0.000152964      23.2755      23.2899      0.0316971      
     184      96      -567.127      -567.182      0.000570376      22.9592      23.0129      0.0318326      
     185      96      -568.981      -569.012      0.00032703      22.9048      22.8791      0.0301817      
     186      96      -568.857      -568.908      0.000540474      23.195      23.1659      0.0295918      
     187      96      -568.967      -569.013      0.000487537      22.9536      22.9067      0.0296238      
     188      96      -569.171      -569.198      0.000285393      22.1826      22.1493      0.0289419      
     189      96      -568.98      -569.004      0.000247017      22.6872      22.6184      0.027721      
     190      96      -568.735      -568.769      0.000357011      23.6319      23.5391      0.0283192      
     191      96      -568.931      -568.985      0.000560236      23.6013      23.476      0.0308023      
     192      96      -567.922      -567.936      0.000151069      22.7      22.7709      0.0319935      
     193      96      -570.439      -570.52      0.00084116      21.4955      21.4136      0.0288872      
     194      96      -570.944      -571.034      0.000942734      20.5911      20.5735      0.0281066      
     195      96      -569.718      -569.717      1.90558e-05      22.1564      22.1957      0.0299084      
     196      96      -569.907      -569.931      0.000250501      21.8323      21.8466      0.0298688      
     197      96      -569.381      -569.424      0.000443165      22.2192      22.1893      0.0296467      
     198      96      -568.44      -568.485      0.000461563      23.6913      23.6247      0.0297934      
     199      96      -567.285      -567.312      0.000275372      25.7868      25.6952      0.0314428      
     200      96      -568.878      -568.807      0.000745425      22.6784      22.7205      0.0319993      
     201      96      -568.346      -568.363      0.000177437      22.6257      22.5983      0.029087      
     202      96      -569.128      -569.155      0.000278387      21.1811      21.1862      0.0277915      
     203      96      -569.282      -569.295      0.000132967      21.187      21.2058      0.028445      
     204      96      -569.072      -569.03      0.000435667      21.8019      21.8455      0.0303019      
     205      96      -568.803      -568.712      0.000940527      22.354      22.4086      0.0307147      
     206      96      -568.901      -568.809      0.000959513      21.8315      21.8609      0.0284168      
     207      96      -569.202      -569.15      0.000541196      21.2007      21.2219      0.0267501      
     208      96      -569.318      -569.311      7.13541e-05      21.8228      21.7967      0.0255489      
     209      96      -569.493      -569.53      0.000391869      22.7679      22.739      0.0258697      
     210      96      -569.811      -569.88      0.000714202      22.5476      22.4224      0.0287161      
     211      96      -569.83      -569.904      0.000766634      22.8401      22.67      0.0293188      
     212      96      -569.232      -569.293      0.000636947      24.1895      24.034      0.0292426      
     213      96      -569.802      -569.68      0.00126903      22.094      22.1243      0.0306139      
     214      96      -568.452      -568.494      0.000438639      25.3314      25.3103      0.0281125      
     215      96      -568.786      -568.815      0.000292705      24.336      24.349      0.0286279      
     216      96      -569.2      -569.217      0.000174949      23.2301      23.2365      0.0285585      
     217      96      -569.522      -569.501      0.000217074      22.7314      22.7406      0.0295016      
     218      96      -569.662      -569.6      0.00064432      23.076      23.1168      0.0293717      
     219      96      -569.886      -569.809      0.000800755      23.058      23.1034      0.0294098      
     220      96      -570.77      -570.69      0.000835256      22.1466      22.1813      0.0277432      
     221      96      -571.712      -571.659      0.000555599      20.7019      20.7158      0.0257032      
     222      96      -571.832      -571.798      0.000348637      20.8714      20.8831      0.0254825      
     223      96      -570.838      -570.84      2.1423e-05      23.1216      23.0967      0.0249442      
     224      96      -570.228      -570.265      0.000378574      23.2538      23.1907      0.025488      
     225      96      -569.847      -569.915      0.000709736      22.0649      22.0054      0.026725      
     226      96      -569.747      -569.79      0.000446422      21.3331      21.3385      0.0298367      
     227      96      -569.756      -569.747      0.000101779      21.1951      21.2935      0.0334976      
     228      96      -569.583      -569.493      0.000939013      21.6322      21.7738      0.0345803      
     229      96      -571.072      -570.986      0.000901974      21.0004      21.0126      0.028854      
     230      96      -568.227      -568.176      0.000533139      24.096      24.172      0.0344128      
     231      96      -567.637      -567.649      0.000125091      24.2724      24.3201      0.0308896      
     232      96      -567.587      -567.628      0.000420257      23.4956      23.5186      0.0296485      
     233      96      -567.854      -567.887      0.000347095      22.5137      22.5176      0.0281708      
     234      96      -568.371      -568.367      3.83469e-05      22.307      22.3323      0.0283891      
     235      96      -568.614      -568.614      1.80529e-06      22.2183      22.2491      0.0298335      
     236      96      -568.482      -568.522      0.000421441      22.6035      22.5874      0.0298088      
     237      96      -571.57      -571.518      0.00054046      20.9574      20.925      0.0271835      
     238      96      -567.365      -567.46      0.000990114      24.6425      24.6115      0.0345669      
     239      96      -567.571      -567.644      0.000757124      24.2103      24.1972      0.0370313      
     240      96      -568.214      -568.249      0.000373593      23.075      23.0632      0.0381573      
     241      96      -569.072      -569.063      9.98247e-05      21.7493      21.7526      0.035063      
     242      96      -569.475      -569.451      0.000259443      21.428      21.3916      0.0324067      
     243      96      -569.501      -569.479      0.000227701      21.7596      21.7411      0.0325491      
     244      96      -569.487      -569.454      0.000345699      22.2556      22.2821      0.0349998      
     245      96      -571.62      -571.635      0.000160518      20.2255      20.1827      0.0252695      
     246      96      -571.511      -571.521      0.000106563      20.147      20.1541      0.0259135      
     247      96      -570.899      -570.906      7.52253e-05      20.4867      20.5094      0.027983      
     248      96      -570.011      -570.025      0.000146942      21.8559      21.8644      0.0292005      
     249      96      -569.503      -569.52      0.000177448      23.2855      23.2644      0.0299733      
     250      96      -569.552      -569.558      6.45348e-05      23.886      23.8497      0.0293097      
     251      96      -570.074      -570.066      7.38669e-05      23.3986      23.4156      0.030154      
     252      96      -569.716      -569.731      0.000156094      24.5008      24.5202      0.0321524      
     253      96      -568.947      -569.019      0.000754169      25.2599      25.2318      0.0333246      
     254      96      -568.458      -568.58      0.001274      24.7968      24.7568      0.0326927      
     255      96      -567.832      -567.996      0.00171685      24.2659      24.2116      0.0331884      
     256      96      -569.369      -569.387      0.000185117      22.0108      21.9815      0.0281151      
     257      96      -565.952      -566.025      0.000758914      23.7445      23.7475      0.0310881      
     258      96      -568.531      -568.495      0.000383916      22.7011      22.7803      0.032109      
     259      96      -569.458      -569.456      1.96834e-05      22.7004      22.7139      0.0295541      
     260      96      -567.325      -567.413      0.000914137      24.6681      24.6287      0.0356664      
     261      96      -567.283      -567.429      0.00152399      24.7686      24.7995      0.0322153      
     262      96      -567.416      -567.491      0.000776229      24.5569      24.613      0.0331475      
     263      96      -568.234      -568.236      2.02076e-05      22.8365      22.8604      0.0329834      
     264      96      -568.702      -568.663      0.000412193      22.1305      22.1442      0.0348714      
     265      96      -568.779      -568.719      0.000625725      22.6125      22.6737      0.0350712      
     266      96      -573.405      -573.384      0.000216476      19.9596      19.9053      0.0232339      
     267      96      -569.403      -569.431      0.000292299      22.2406      22.2095      0.0286786      
     268      96      -570.21      -570.249      0.000406542      21.104      21.097      0.0239299      
