# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     249      24      -279.793      -279.793      1.92159e-05      0.807551      0.839263      0.00713841      
# GSF_112.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     250      30      -345.175      -345.176      1.90088e-05      1.10556      1.0574      0.0138038      
     251      30      -346.37      -346.362      0.000288491      1.22778      1.22028      0.00804038      
     252      30      -345.795      -345.796      1.28985e-05      2.03415      2.11286      0.0119962      
     253      30      -345.166      -345.165      5.65855e-05      1.70381      1.76583      0.0128298      
     254      30      -346.586      -346.594      0.000266842      0.0779828      0.0114887      0.00500404      
     255      30      -346.405      -346.396      0.000293616      1.03123      0.995468      0.0101567      
     256      30      -345.321      -345.319      3.77687e-05      1.78573      1.77204      0.0124754      
     257      30      -345.599      -345.595      0.000125142      1.49812      1.51601      0.0141238      
     258      30      -345.988      -345.986      6.92921e-05      1.35192      1.40625      0.0145172      
     259      30      -345.392      -345.384      0.000260121      0.952745      0.963574      0.0122814      
     260      30      -346.585      -346.583      9.75698e-05      0.0785847      0.0126741      0.00514225      
     261      30      -345.453      -345.452      2.30693e-05      2.75844      2.78772      0.0147105      
     262      30      -346.586      -346.594      0.000266845      0.0779843      0.0114883      0.00500414      
     263      30      -345.276      -345.282      0.000186843      1.94687      1.87314      0.0123536      
     264      30      -345.924      -345.929      0.000160489      2.03695      2.10087      0.014513      
     265      30      -345.11      -345.112      6.88547e-05      3.33285      3.35807      0.0138416      
     266      30      -346.365      -346.367      7.30777e-05      1.32069      1.3358      0.00959003      
     267      30      -346.585      -346.583      9.7336e-05      0.0787866      0.0125474      0.00516986      
     268      30      -344.908      -344.914      0.000175488      3.41963      3.44183      0.0143014      
     269      30      -345.843      -345.837      0.000215142      1.60311      1.60877      0.0110765      
     270      30      -344.981      -344.984      0.00011201      2.46191      2.54263      0.0118392      
     271      30      -346.394      -346.394      7.25201e-06      1.22636      1.21168      0.0113967      
# Liquid.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     272      100      -1105.57      -1105.6      0.000274743      31.2122      31.3985      0.144065      
     273      100      -1099.63      -1099.67      0.000414203      31.8227      32.0317      0.134409      
     274      100      -1121.38      -1121.32      0.000692035      20.4893      20.8108      0.132207      
# Surface.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     275      24      -279.888      -279.912      0.00099306      0.0736263      0.00275309      0.00362308      
     276      48      -555.36      -555.359      1.01116e-06      0.0302409      0.00302063      0.000804749      
     277      40      -459.216      -459.216      1.45017e-05      5.01971      5.04614      0.00830192      
     278      40      -461.145      -461.144      2.30774e-05      0.105936      0.00558274      0.00301795      
