# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     335      48      -99968      -99967.6      0.00957453      3.65077      3.66016      0.0109512      
     336      48      -99920.7      -99920.2      0.0091552      4.93701      4.81993      0.0121592      
     337      48      -99908.8      -99908.8      4.11199e-05      14.473      14.5937      0.00921944      
     338      48      -99963.1      -99963.1      0.00110825      5.84062      5.74958      0.00975305      
     339      48      -99959.3      -99959.4      0.00125076      3.17026      3.2622      0.00932233      
     340      48      -99952      -99952      0.000983848      3.63816      3.72435      0.0098669      
     341      48      -99951.1      -99950.8      0.00737023      5.51552      5.41116      0.00527612      
     342      48      -99897.7      -99897.6      0.00308636      15.2237      15.3429      0.0152089      
     343      48      -99908.6      -99908.8      0.00402792      7.78121      7.43228      0.0342504      
     344      48      -99941.8      -99942.1      0.00545307      8.11843      8.00288      0.00741916      
     345      48      -99939.4      -99939.1      0.00637757      9.93384      9.97169      0.0193762      
     346      48      -99885.3      -99885.1      0.0038083      23.0514      22.7939      0.0150272      
     347      48      -99947.8      -99947.9      0.00128589      7.55931      7.35047      0.0173091      
